,Parameters,Unit ,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,,,,
,Run Hours,Rh,11:00,9935.59,12:00,9936.57,13:00,9937.57,14:00,9938.58,15:00,9939.56,16:00,9940.56,17:00,9941.56,,,,
,Active Power,kWhr,11:00,194.6,12:00,193.7,13:00,182.3,14:00,195.5,15:00,193.4,16:00,194.7,17:00,193.5,,,,
,Cumulative Energy,MWhr,11:00,236.950,12:00,237.137,13:00,237.333,14:00,237.529,15:00,237.724,16:00,237.916,17:00,238.098,,,,
,Current,A,11:00,296.2,12:00,293.3,13:00,277.8,14:00,282.6,15:00,299.8,16:00,297.5,17:00,294.3,,Total Energy,1kWh unit price,Energy cost (LKR)
,,,,,,,,,,,,,,,,,,kWh,LKR,LKR
,Cumulative Energy per hour ,MWhr,,,0.187,,0.196,,0.196,,0.195,,0.192,,0.182,,,1148, 21.00 ," 24,108.00 "
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,                                                          ,,,,,,,,,,,
