No,Location,Time,"Flowrate
(m3/hr)",Production Totalizer (m3),Time,"Flowrate
(m3/hr)",Production Totalizer (m3),Time,"Flowrate
(m3/hr)",Production Totalizer (m3),Time,"Flowrate
(m3/hr)",Production Totalizer (m3),Time,"Flowrate
(m3/hr)",Production Totalizer (m3),Time,"Flowrate
(m3/hr)",Production Totalizer (m3),Time,"Flowrate
(m3/hr)",Production Totalizer (m3),,,,
1,Seawater Inlet,11:00,91.59,60201.7,12:00,90.63,60286.0,13:00,91.43,60370.7,14:00,91.32,60455.1,15:00,90.59,60539.1,16:00,90.89,60623.6,17:00,90.29,60711.5,,,,
2,UF 1 Inlet,11:00,44.76,23443.1,12:00,44.86,23483.5,13:00,44.69,23522.9,14:00,45.12,23563.6,15:00,44.61,23602.4,16:00,44.79,23642.9,17:00,45.02,23675.0,,,,
3,UF 2 Inlet,11:00,45.21,22250.5,12:00,46.08,22290.9,13:00,45.33,22331.7,14:00,45.32,22372.0,15:00,45.17,22411.9,16:00,45.25,22452.4,17:00,45.48,22500.1,,,,
4,SWRO 1 Feed,11:00,45.93,23199.4,12:00,45.26,23241.4,13:00,45.84,23283.9,14:00,45.93,23326.0,15:00,45.55,23368.1,16:00,45.79,23410.3,17:00,45.93,23454.9,,,,
5,SWRO 1 Product,11:00,19.33,10403.5,12:00,19.11,10424.0,13:00,19.15,10445.6,14:00,19.06,10466.7,15:00,18.95,10487.8,16:00,18.93,10508.7,17:00,18.71,10529.4,,,,
6,SWRO 1 Reject,11:00,26.00,,12:00,26.50,,13:00,26.50,,14:00,26.50,,15:00,26.50,,16:00,26.50,,17:00,26.50,,,,,
7,SWRO 2 Feed,11:00,43.92,21797.3,12:00,44.22,21839.9,13:00,44.72,21882.2,14:00,44.06,21924.5,15:00,44.14,21966.5,16:00,44.20,22008.3,17:00,44.62,22051.0,,,,
8,SWRO 2 Product,11:00,18.97,10261.3,12:00,18.99,10282.3,13:00,19.36,10303.4,14:00,18.76,10324.6,15:00,19.13,10345.6,16:00,19.17,10366.6,17:00,19.21,10385.7,,,,
9,SWRO 2 Reject,11:00,26.00,,12:00,27.00,,13:00,27.00,,14:00,27.00,,15:00,27.00,,16:00,27.00,,17:00,27.00,,,,,
10,BWRO 1 Product,11:00,11.65,6647.8,12:00,11.56,6658.5,13:00,11.64,6668.9,14:00,11.57,6679.3,15:00,11.81,6689.9,16:00,11.61,6700.4,17:00,11.65,6711.4,,,,
11,BWRO 1 Reject,11:00,2.00,,12:00,2.00,,13:00,2.00,,14:00,2.00,,15:00,2.00,,16:00,2.00,,17:00,2.00,,,,,
12,BWRO 2 Product,11:00,11.76,6708.1,12:00,11.69,6718.5,13:00,11.74,6729.2,14:00,11.66,6739.6,15:00,11.69,6750.1,16:00,11.71,6760.7,17:00,11.71,6771.6,,,,
13,BWRO 2 Reject,11:00,2.00,,12:00,2.00,,13:00,2.00,,14:00,2.00,,15:00,2.00,,16:00,2.00,,17:00,2.00,,,,,
14,MB 1 Product,11:00,11.86,6959.7,12:00,11.74,6970.2,13:00,11.81,6980.9,14:00,11.75,6991.3,15:00,11.87,7001.8,16:00,11.81,7012.3,17:00,11.80,7023.2,,,,
