,WTP Energy Consumption Report,,,Report Location,O&M/02/26/02,,,,,,,,,,,,,,,,,,,,
,,,,Report No.,2026/05/R0,,,,,,,,,,,,,,,,,,,,
,31-May-26,,,Prepared By,Pubudu Hettiarachchi,,,,,,,,,,,,,,,,,,,,
,,,,Designation,MS,,,,,,,,,,,,,,,,,,,,
Date,Cumulative Energy Value,Energy Consumption,,DM Production,Energy Consumption per (1m3) Cubic meter,,,,,,,,,,,,,,,,,,,,
,kWh,(per day) kWh,,(per day) m3,kWh/m3,,,,,,,,,,,,,,,,,,,,
30-Apr-26,391776,,,,,,,,,,,,,,,,,,,,,,,,
01-May-26,394225,2449,,364,6.73,,,,,,,,,,,,,,,,,,,,
02-May-26,396663,2438,,226.4,10.77,,,,,,,,,,,,,,,,,,,,
03-May-26,398145,1482,,380.7,3.89,,,,,,,,,,,,,,,,,,,,
04-May-26,400844,2699,,291,9.27,,,,,,,,,,,,,,,,,,,,
05-May-26,402810,1966,,337.1,5.83,,,,,,,,,,,,,,,,,,,,
06-May-26,406208,3398,,360.8,9.42,,,,,,,,,,,,,,,,,,,,
07-May-26,408342,2134,,335.3,6.36,,,,,,,,,,,,,,,,,,,,
08-May-26,410380,2038,,225.9,9.02,,,,,,,,,,,,,,,,,,,,
09-May-26,411843,1463,,247,5.92,,,,,,,,,,,,,,,,,,,,
10-May-26,414388,2545,,245.8,10.35,,,,,,,,,,,,,,,,,,,,
11-May-26,416055,1667,,148.3,11.24,,,,,,,,,,,,,,,,,,,,
12-May-26,416076,21,,0,,,,,,,,,,,,,,,,,,,,,
13-May-26,416110,34,,0,,,,,,,,,,,,,,,,,,,,,
14-May-26,416118,8,,40.8,0.2,,,,,,,,,,,,,,,,,,,,
15-May-26,416130,12,,0,,,,,,,,,,,,,,,,,,,,,
16-May-26,416599,469,,0,,,,,,,,,,,,,,,,,,,,,
17-May-26,420575,3976,,663.3,5.99,,,,,,,,,,,,,,,,,,,,
18-May-26,422436,1861,,350.6,5.31,,,,,,,,,,,,,,,,,,,,
19-May-26,423002,566,,69.8,8.11,,,,,,,,,,,,,,,,,,,,
20-May-26,423620,618,,189.4,3.26,,,,,,,,,,,,,,,,,,,,
21-May-26,423922,302,,0,,,,,,,,,,,,,,,,,,,,,
22-May-26,423991,69,,51.6,1.34,,,,,,,,,,,,,,,,,,,,
23-May-26,424225,234,,0,,,,,,,,,,,,,,,,,,,,,
24-May-26,425732,1507,,104.2,14.46,,,,,,,,,,,,,,,,,,,,
25-May-26,425757,25,,0,,,,,,,,,,,,,,,,,,,,,
26-May-26,426324,567,,82.9,6.84,,,,,,,,,,,,,,,,,,,,
27-May-26,426414,90,,80.8,1.11,,,,,,,,,,,,,,,,,,,,
28-May-26,428378,1964,,274.4,7.16,,,,,,,,,,,,,,,,,,,,
29-May-26,428392,14,,0,,,,,,,,,,,,,,,,,,,,,
30-May-26,428834,442,,25.2,17.54,,,,,,,,,,,,,,,,,,,,
31-May-26,428857,23,,0,,,,,,,,,,,,,,,,,,,,,
Total Energy for May (kWh),,37081,,5095.3,7.28,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
