Parameters,DM Water,Time,MB 1,MB 2,Time,MB 1,MB 2,Time,MB 1,MB 2,Time,MB 1,MB 2
,Design,,Actual,Actual,,Actual,Actual,,Actual,Actual,,Actual,Actual
pH,6.5 - 7.5,11:00,6.88,6.60,13:00,6.59,6.62,15:00,6.18,6.46,17:00,6.64,6.66
Total Hardness,0 ?mol/L,11:00,0,0,13:00,0,0,15:00,0,0,17:00,0,0
Conductivity,< 0.2 ?S/cm,11:00,0.11,0.12,13:00,0.11,0.12,15:00,0.10,0.12,17:00,0.09,0.11
Na,< 3 ?g/kg,11:00,< 2,< 2,13:00,< 2,< 2,15:00,< 2,< 2,17:00,< 2,< 2
Fe,< 2 ?g/kg,11:00,1,2,13:00,1,2,15:00,1,3,17:00,1,1
Cu,< 2 ?g/kg,11:00,0,0,13:00,0,0,15:00,0,0,17:00,0,0
SiO2,< 10 ?g/kg as SiO2,11:00,1,2,13:00,1,2,15:00,2,3,17:00,1,2
TOC,< 0.2/kg as C,11:00,0,0,13:00,0,0,15:00,0,0,17:00,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Parameters,Service  Water,Time,SWRO 1,SWRO 2,Time,SWRO 1,SWRO 2,Time,SWRO 1,SWRO 2,Time,SWRO 1,SWRO 2
,Design,,Actual,Actual,,Actual,Actual,,Actual,Actual,,Actual,Actual
pH,6.5 - 7.5,11:00,6.74,6.60,13:00,6.74,6.69,15:00,6.67,6.83,17:00,6.57,6.73
Total Hardness,15 mg/L,11:00,0,0,13:00,0,0,15:00,0,0,17:00,0,0
Conductivity,< 600 ?S/cm,11:00,280.7,289.1,13:00,245.6,250.1,15:00,222.80,225.4,17:00,242.9,236.9
Na,< 120 mg/L,11:00,-,-,13:00,-,-,15:00,-,-,17:00,-,-
SiO2,< 10 ?g/L,11:00,3,2,13:00,2,3,15:00,2,3,17:00,2,2
